State,StateFIPS,CountyFIPS,AreaName,income_001,incomeA_001,incomeB_001,incomeC_001,incomeD_001,incomeE_001,incomeF_001,incomeG_001,incomeH_001,incomeI_001
OK,40,035,"Craig County, Oklahoma",38876,40364,25577,34875,55417,NA,38516,43523,40403,38203
OK,40,037,"Creek County, Oklahoma",45016,47196,22500,39970,NA,115500,NA,40605,47422,36691
OK,40,039,"Custer County, Oklahoma",46125,47572,29034,45250,36339,.,48038,32961,51268,35676
OK,40,041,"Delaware County, Oklahoma",37942,40000,23875,30428,52740,28482,32260,36394,39989,32583
OK,40,043,"Dewey County, Oklahoma",50904,51865,.,NA,NA,.,.,39375,52049,47000
OK,40,045,"Ellis County, Oklahoma",50855,50987,.,41250,.,.,.,61250,52833,37188
OK,40,047,"Garfield County, Oklahoma",48238,49506,37755,50036,46685,43343,55893,30089,50774,40806
OK,40,049,"Garvin County, Oklahoma",40524,40610,35046,42212,56912,.,NA,40598,40701,38750
OK,40,051,"Grady County, Oklahoma",52279,53478,30469,52794,NA,.,NA,40000,53925,40000
OK,40,053,"Grant County, Oklahoma",50250,50448,NA,24167,.,.,.,37917,50522,60263
OK,40,055,"Greer County, Oklahoma",40125,41349,NA,NA,.,.,NA,38438,41369,NA
OK,40,057,"Harmon County, Oklahoma",31250,38083,21964,81250,.,.,18500,NA,39458,18015
OK,40,059,"Harper County, Oklahoma",48359,48691,.,.,.,.,.,NA,48864,47750
OK,40,061,"Haskell County, Oklahoma",35252,35290,NA,36797,51000,.,21250,30625,35569,27614
OK,40,063,"Hughes County, Oklahoma",35563,36758,32500,27614,.,.,21587,61250,36727,28393
OK,40,065,"Jackson County, Oklahoma",41560,44890,30684,36702,62066,.,33469,46083,46126,33347
OK,40,067,"Jefferson County, Oklahoma",33449,33715,.,35313,.,.,25000,27188,34375,19010
OK,40,069,"Johnston County, Oklahoma",38776,40136,9034,41818,NA,.,52500,32316,39946,39583
OK,40,071,"Kay County, Oklahoma",42134,43037,18185,35000,55268,.,35139,40150,43121,32227
OK,40,073,"Kingfisher County, Oklahoma",60034,60831,NA,73542,.,.,50521,24137,61104,52389
OK,40,075,"Kiowa County, Oklahoma",39909,41470,29583,24063,.,.,39205,23611,41680,36250
OK,40,077,"Latimer County, Oklahoma",39205,41102,NA,30357,NA,.,NA,34375,41126,31625
OK,40,079,"Le Flore County, Oklahoma",36490,37389,18421,33438,31520,.,35129,35655,37510,33500
OK,40,081,"Lincoln County, Oklahoma",45149,46002,24375,37625,.,.,44583,47500,46106,37639
OK,40,083,"Logan County, Oklahoma",55299,60028,27348,40081,250001,.,32069,46250,60030,52448
OK,40,085,"Love County, Oklahoma",44549,44626,40278,44688,NA,.,55893,43264,46585,40250
OK,40,087,"McClain County, Oklahoma",56088,55531,NA,63456,NA,.,75766,63276,55513,56563
OK,40,089,"McCurtain County, Oklahoma",32324,34778,19265,31446,.,.,24423,34375,34542,24471
OK,40,091,"McIntosh County, Oklahoma",36011,38664,25655,30156,.,.,.,30694,38706,39153
OK,40,093,"Major County, Oklahoma",51571,53105,.,32353,.,.,NA,NA,53438,30938
OK,40,095,"Marshall County, Oklahoma",40475,41250,12750,32308,.,.,41350,41992,40491,44375
OK,40,097,"Mayes County, Oklahoma",42071,42318,NA,40219,48194,NA,.,41438,42320,38750
OK,40,099,"Murray County, Oklahoma",47077,46940,NA,37625,.,.,58828,53393,47110,53164
OK,40,101,"Muskogee County, Oklahoma",39984,41909,27149,38400,70850,.,25438,44955,42029,28882
OK,40,103,"Noble County, Oklahoma",48285,50219,NA,52031,.,.,NA,34083,50077,NA
OK,40,105,"Nowata County, Oklahoma",39875,41162,23958,35741,NA,.,.,42083,41250,40385
OK,40,107,"Okfuskee County, Oklahoma",36216,41474,24545,24959,.,.,NA,48750,41151,42955
OK,40,109,"Oklahoma County, Oklahoma",47437,52362,31816,43039,54457,40625,34951,38761,55211,35187
OK,40,111,"Okmulgee County, Oklahoma",38843,42123,24688,33393,.,.,33750,34646,42225,36548
OK,40,113,"Osage County, Oklahoma",45443,47252,36786,41126,.,.,NA,48542,47570,33897
OK,40,115,"Ottawa County, Oklahoma",36347,37140,25000,35521,48125,29250,25625,31699,37233,28500
OK,40,117,"Pawnee County, Oklahoma",45765,46325,23500,41012,NA,.,.,42366,46216,61339
OK,40,119,"Payne County, Oklahoma",37667,39904,27481,25707,17557,.,11250,32500,39910,29145
OK,40,121,"Pittsburg County, Oklahoma",42576,43464,55893,38214,49167,.,45536,38050,43571,40909
OK,40,123,"Pontotoc County, Oklahoma",43261,45748,31639,36151,NA,.,NA,36833,46812,29279
OK,40,125,"Pottawatomie County, Oklahoma",44688,46860,25403,37856,72981,.,51250,29103,47031,34337
OK,40,127,"Pushmataha County, Oklahoma",32445,32382,33750,29375,2499,.,37188,36875,32083,45156
OK,40,129,"Roger Mills County, Oklahoma",50739,50823,.,NA,.,.,.,52083,52165,17500
OK,40,131,"Rogers County, Oklahoma",58139,59876,55625,49853,53819,.,59286,58627,59635,67961
OK,40,133,"Seminole County, Oklahoma",36068,37475,20208,35587,22500,.,24583,38421,37211,37500
OK,40,135,"Sequoyah County, Oklahoma",35736,35609,19594,36031,28750,.,16198,41214,35605,22958
OK,40,137,"Stephens County, Oklahoma",43781,44048,21776,42379,47159,.,42083,46500,44206,36696
OK,40,139,"Texas County, Oklahoma",50242,51486,NA,68864,96406,.,41184,50000,52758,43152
OK,40,141,"Tillman County, Oklahoma",37759,40458,29625,42625,49250,.,27381,27500,41598,27375
OK,40,143,"Tulsa County, Oklahoma",49759,54305,27294,45838,52177,35536,35993,41572,55505,39517
OK,40,145,"Wagoner County, Oklahoma",55715,56989,41157,51250,68281,.,52679,47661,56986,58438
OK,40,147,"Washington County, Oklahoma",50023,51193,26719,36042,81951,.,26898,39735,51444,40602
