State,StateFIPS,CountyFIPS,AreaName,income_001,incomeA_001,incomeB_001,incomeC_001,incomeD_001,incomeE_001,incomeF_001,incomeG_001,incomeH_001,incomeI_001
AK,02,013,"Aleutians East Borough, Alaska",61518,72639,31250,54750,62679,.,.,56875,74583,51250
AK,02,016,"Aleutians West Census Area, Alaska",84306,97321,93750,48750,81250,68125,78750,88750,98654,77500
AK,02,020,"Anchorage Municipality, Alaska",78326,87235,50535,53935,63757,50313,49758,59741,89068,53926
AK,02,050,"Bethel Census Area, Alaska",51012,92647,73661,41594,110625,.,.,65806,91875,160114
AK,02,060,"Bristol Bay Borough, Alaska",79750,88000,.,63333,.,.,.,75000,90938,25625
AK,02,068,"Denali Borough, Alaska",81544,81029,.,47500,.,.,.,103889,80368,.
AK,02,070,"Dillingham Census Area, Alaska",54173,81161,.,42212,.,.,.,52083,77813,86458
AK,02,090,"Fairbanks North Star Borough, Alaska",71068,74242,56353,48333,56339,42672,48333,53139,74129,55284
AK,02,100,"Haines Borough, Alaska",58750,67888,.,45714,.,.,.,31953,68300,.
AK,02,105,"Hoonah-Angoon Census Area, Alaska",52419,64000,.,35625,.,.,.,66250,63417,68500
AK,02,110,"Juneau City and Borough, Alaska",85746,90553,106964,57821,80893,33929,76969,68720,92155,76083
AK,02,122,"Kenai Peninsula Borough, Alaska",63684,64663,122660,46458,58125,.,201171,52175,64868,64148
AK,02,130,"Ketchikan Gateway Borough, Alaska",64222,73313,NA,45536,45859,.,NA,35000,73021,83250
AK,02,150,"Kodiak Island Borough, Alaska",70887,82857,26827,48179,56585,NA,100855,50446,82090,87000
AK,02,158,"Kusilvak Census Area, Alaska",38229,63750,.,37238,155417,.,.,33125,63750,64167
AK,02,164,"Lake and Peninsula Borough, Alaska",50781,72500,.,38482,.,.,.,NA,72500,.
AK,02,170,"Matanuska-Susitna Borough, Alaska",72983,74141,55577,56724,53789,53750,65625,62664,73866,77367
AK,02,180,"Nome Census Area, Alaska",48868,85455,NA,37277,78056,.,NA,71250,85167,86607
AK,02,185,"North Slope Borough, Alaska",72576,86250,107500,59554,126964,108500,.,122955,88250,88563
AK,02,188,"Northwest Arctic Borough, Alaska",63648,99444,.,52227,69375,.,.,92917,99028,NA
AK,02,195,"Petersburg Borough, Alaska",67935,64813,NA,60417,61875,.,108359,96500,64125,106250
AK,02,198,"Prince of Wales-Hyder Census Area, Alaska",48523,53185,31250,42404,.,.,.,39000,53306,NA
AK,02,220,"Sitka City and Borough, Alaska",70376,81029,143125,40625,75000,.,34063,38533,81103,58333
AK,02,230,"Skagway Municipality, Alaska",69318,72589,.,43750,NA,.,.,45833,73393,54479
AK,02,240,"Southeast Fairbanks Census Area, Alaska",62670,71349,51563,20774,33750,.,NA,58571,70888,78750
AK,02,261,"Valdez-Cordova Census Area, Alaska",78810,82090,.,45000,105417,NA,98490,55690,82213,NA
AK,02,275,"Wrangell City and Borough, Alaska",48603,53295,.,31250,51250,.,.,47500,53693,NA
AK,02,282,"Yakutat City and Borough, Alaska",72500,76250,.,45625,127188,NA,.,56250,76250,.
AK,02,290,"Yukon-Koyukuk Census Area, Alaska",38491,63000,.,29750,76250,.,NA,45417,64083,NA
AL,01,001,"Autauga County, Alabama",51281,56854,32073,NA,2499,.,.,NA,56828,61296
AL,01,003,"Baldwin County, Alabama",50254,52594,26967,92670,36250,.,66272,29944,52945,42468
AL,01,005,"Barbour County, Alabama",32964,45039,21171,.,NA,.,26140,NA,45039,27132
AL,01,007,"Bibb County, Alabama",38678,42263,27793,.,.,.,.,NA,42094,43750
AL,01,009,"Blount County, Alabama",45813,46601,31507,61310,NA,.,28789,39318,47872,35271
AL,01,011,"Bullock County, Alabama",31938,52930,24595,.,.,.,.,.,50465,.
AL,01,013,"Butler County, Alabama",32229,42922,23453,NA,90833,.,.,NA,43313,NA
AL,01,015,"Calhoun County, Alabama",41703,46399,26071,48409,NA,.,31855,32411,46874,30575
AL,01,017,"Chambers County, Alabama",34177,42336,25442,.,62417,.,.,43478,42595,NA
AL,01,019,"Cherokee County, Alabama",36296,36679,32973,NA,11313,.,.,43750,37111,NA
AL,01,021,"Chilton County, Alabama",41627,43395,35189,83564,22981,.,26171,28162,43323,28939
AL,01,023,"Choctaw County, Alabama",33536,45321,21661,.,.,.,.,28594,45321,.
AL,01,025,"Clarke County, Alabama",32011,41390,19650,.,NA,.,.,.,41480,2499
AL,01,027,"Clay County, Alabama",35327,37166,30343,12679,.,.,.,NA,38191,24914
AL,01,029,"Cleburne County, Alabama",38056,38886,30335,.,.,.,.,NA,39439,17431
AL,01,031,"Coffee County, Alabama",46729,51998,26605,46607,39063,.,NA,60781,53134,32372
AL,01,033,"Colbert County, Alabama",40576,44296,28778,NA,NA,.,29747,28512,44433,30994
AL,01,035,"Conecuh County, Alabama",24900,32746,17366,.,.,.,.,32554,33705,13365
AL,01,037,"Coosa County, Alabama",31212,42727,23473,.,.,.,.,.,42596,NA
AL,01,039,"Covington County, Alabama",36444,39636,21875,26389,33177,.,53125,NA,39753,51131
AL,01,041,"Crenshaw County, Alabama",36022,42771,21614,55227,NA,.,.,.,42398,72868
AL,01,043,"Cullman County, Alabama",38971,39378,33333,NA,NA,.,NA,14081,39825,21888
AL,01,045,"Dale County, Alabama",45028,49655,26807,43088,73636,.,31481,30795,51579,25115
AL,01,047,"Dallas County, Alabama",27306,51431,20462,.,49583,.,.,23125,51593,.
AL,01,049,"DeKalb County, Alabama",38192,38909,27629,NA,65114,.,22510,32628,39471,27912
AL,01,051,"Elmore County, Alabama",53555,58246,34370,48563,49342,.,65132,46214,58946,29038
AL,01,053,"Escambia County, Alabama",32330,39557,21925,32321,.,.,.,NA,39567,NA
AL,01,055,"Etowah County, Alabama",39220,41841,24950,35387,120714,.,NA,34306,41976,35795
AL,01,057,"Fayette County, Alabama",34680,36892,17270,.,.,.,.,NA,36858,30625
AL,01,059,"Franklin County, Alabama",35372,36562,27340,27529,.,.,32567,27679,36410,34308
AL,01,061,"Geneva County, Alabama",36024,37725,24296,34063,.,.,18713,64044,38199,35023
AL,01,063,"Greene County, Alabama",20541,45136,17731,.,.,.,.,.,45136,.
AL,01,065,"Hale County, Alabama",32714,47035,25127,.,.,.,.,.,47067,34055
AL,01,067,"Henry County, Alabama",41997,50725,22207,.,.,.,.,32019,50865,41477
AL,01,069,"Houston County, Alabama",41571,48967,24982,35662,45000,.,40417,35096,49491,34063
AL,01,071,"Jackson County, Alabama",37745,38158,20238,48947,NA,81131,NA,33558,38252,21840
AL,01,073,"Jefferson County, Alabama",45610,60497,31867,35396,55052,NA,32009,39318,60998,34768
AL,01,075,"Lamar County, Alabama",35450,37267,19792,.,.,.,.,.,37250,NA
AL,01,077,"Lauderdale County, Alabama",43125,45208,25992,22697,59750,.,.,26719,45220,36034
AL,01,079,"Lawrence County, Alabama",40003,40061,30417,50372,28472,.,.,80694,40208,28482
AL,01,081,"Lee County, Alabama",44570,50270,29991,NA,52870,.,46272,36082,50562,40330
AL,01,083,"Limestone County, Alabama",49570,51636,38971,NA,NA,.,28372,70236,52200,30285
AL,01,085,"Lowndes County, Alabama",25876,56045,19510,.,.,.,.,.,55717,.
AL,01,087,"Macon County, Alabama",30738,39335,28249,23750,.,.,83194,NA,38697,64271
AL,01,089,"Madison County, Alabama",57993,66922,35950,49044,64365,81875,35135,45483,67865,43009
AL,01,091,"Marengo County, Alabama",32042,54205,20262,.,.,.,25329,29063,52932,NA
AL,01,093,"Marion County, Alabama",32299,32698,27727,70972,36010,.,.,24038,32334,35757
AL,01,095,"Marshall County, Alabama",38983,39540,25688,NA,93125,.,24314,44817,40696,24069
AL,01,097,"Mobile County, Alabama",43809,53398,28066,42353,48063,80170,24273,38990,53670,40875
AL,01,099,"Monroe County, Alabama",27257,37849,17029,50536,NA,.,.,80694,38149,14554
AL,01,101,"Montgomery County, Alabama",44369,61342,34180,61684,72083,NA,28456,34961,62297,39923
AL,01,103,"Morgan County, Alabama",45751,48739,25944,101364,62917,.,37423,27339,50048,34331
AL,01,105,"Perry County, Alabama",24537,43906,19336,.,.,.,.,.,43906,.
AL,01,107,"Pickens County, Alabama",30330,41392,18722,.,.,.,.,19750,41408,36833
AL,01,109,"Pike County, Alabama",32825,44427,21852,47188,NA,.,.,NA,44605,30375
AL,01,111,"Randolph County, Alabama",36924,40027,28219,.,.,.,.,NA,40453,NA
AL,01,113,"Russell County, Alabama",37049,44182,30005,21734,NA,110125,NA,28482,42339,67639
AL,01,115,"St. Clair County, Alabama",51859,53010,42069,NA,107875,.,53672,27115,53120,48042
AL,01,117,"Shelby County, Alabama",70187,72574,58780,61964,81713,.,36902,70417,73445,40143
AL,01,119,"Sumter County, Alabama",19501,48636,15730,.,70000,.,.,.,48636,NA
AL,01,121,"Talladega County, Alabama",35155,40996,24692,28681,129936,.,NA,33688,40898,33661
AL,01,123,"Tallapoosa County, Alabama",39206,47741,23739,11216,.,.,28889,26411,48181,27911
AL,01,125,"Tuscaloosa County, Alabama",46565,55568,31879,37361,42649,.,37734,28519,55849,39005
AL,01,127,"Walker County, Alabama",35843,36618,24898,NA,NA,.,48689,20313,36939,30725
AL,01,129,"Washington County, Alabama",42811,44052,32361,53409,.,.,.,.,44175,39583
AL,01,131,"Wilcox County, Alabama",23750,43516,18154,.,.,.,.,.,43516,.
AL,01,133,"Winston County, Alabama",33194,33770,.,22857,.,.,.,12022,33995,28205
AR,05,001,"Arkansas County, Arkansas",36411,42928,26242,.,.,.,.,29333,43570,27125
AR,05,003,"Ashley County, Arkansas",34263,41506,18810,.,.,.,31217,NA,42865,31333
AR,05,005,"Baxter County, Arkansas",35396,35458,.,NA,.,.,75481,NA,35309,61667
AR,05,007,"Benton County, Arkansas",56239,55511,56509,44457,81290,31773,58199,48342,57746,43154
AR,05,009,"Boone County, Arkansas",39251,39736,.,10170,69297,.,.,28625,39552,50404
AR,05,011,"Bradley County, Arkansas",33701,42250,22500,.,.,.,27738,NA,44034,26536
AR,05,013,"Calhoun County, Arkansas",36899,43032,27891,.,.,.,.,.,43101,34750
AR,05,015,"Carroll County, Arkansas",36897,37029,.,NA,.,.,36458,37344,37267,35075
AR,05,017,"Chicot County, Arkansas",28913,43224,20722,NA,NA,.,NA,NA,44079,NA
AR,05,019,"Clark County, Arkansas",35031,39805,22136,.,45938,.,.,27981,40209,35278
AR,05,021,"Clay County, Arkansas",32552,32251,.,67143,.,.,45792,33833,32201,34779
AR,05,023,"Cleburne County, Arkansas",42905,43417,.,57794,.,.,21449,23786,43458,21563
AR,05,025,"Cleveland County, Arkansas",43158,46296,21000,.,.,.,.,NA,46620,.
AR,05,027,"Columbia County, Arkansas",36619,50998,20254,11518,NA,.,28683,21607,51923,21835
AR,05,029,"Conway County, Arkansas",37732,39860,30598,31875,.,.,51094,41875,41470,20431
AR,05,031,"Craighead County, Arkansas",42475,45806,23202,25074,58452,.,NA,39821,46137,27139
AR,05,033,"Crawford County, Arkansas",41268,41283,26806,56176,40417,.,29728,48558,41684,28695
AR,05,035,"Crittenden County, Arkansas",38004,56377,25553,NA,62016,.,28838,25833,56527,29967
AR,05,037,"Cross County, Arkansas",38103,40965,21675,.,58542,.,.,39432,40746,NA
AR,05,039,"Dallas County, Arkansas",34084,41102,26775,.,48304,.,.,.,41186,NA
AR,05,041,"Desha County, Arkansas",27197,42783,17373,.,.,.,NA,NA,43685,21678
AR,05,043,"Drew County, Arkansas",32819,43676,17469,.,.,.,NA,NA,44375,27736
AR,05,045,"Faulkner County, Arkansas",51223,55041,29229,NA,48721,.,31291,34881,55365,35547
AR,05,047,"Franklin County, Arkansas",39285,39541,NA,35364,.,.,.,48409,39806,13778
AR,05,049,"Fulton County, Arkansas",37066,36749,.,21250,.,.,.,23333,36929,21250
AR,05,051,"Garland County, Arkansas",38733,40935,21917,31300,NA,.,31547,60272,41219,29423
AR,05,053,"Grant County, Arkansas",46171,46808,28711,23462,.,.,37656,NA,47043,19091
AR,05,055,"Greene County, Arkansas",41286,41224,NA,52578,.,.,NA,56101,41389,36301
AR,05,057,"Hempstead County, Arkansas",32122,37732,24145,NA,.,.,18289,NA,40066,20965
AR,05,059,"Hot Spring County, Arkansas",40000,42384,22794,NA,.,.,19095,NA,42414,35676
AR,05,061,"Howard County, Arkansas",34229,40757,22636,NA,.,.,33385,.,40617,34861
AR,05,063,"Independence County, Arkansas",36265,36948,21810,2499,NA,.,NA,30578,37238,30238
AR,05,065,"Izard County, Arkansas",32630,32718,.,.,.,.,.,19327,32640,71250
AR,05,067,"Jackson County, Arkansas",31261,32459,22179,.,.,.,.,NA,32452,NA
AR,05,069,"Jefferson County, Arkansas",36747,46712,29051,NA,57330,.,24286,46111,47323,23281
AR,05,071,"Johnson County, Arkansas",34139,35176,12500,33333,32917,.,32750,40512,35754,30070
AR,05,073,"Lafayette County, Arkansas",31194,41726,18917,.,.,.,.,NA,41131,NA
AR,05,075,"Lawrence County, Arkansas",32379,32373,.,60469,.,.,.,NA,32550,NA
AR,05,077,"Lee County, Arkansas",28393,38894,19779,.,.,.,.,.,37933,.
AR,05,079,"Lincoln County, Arkansas",32580,41220,20252,NA,.,.,31575,16250,41563,30550
AR,05,081,"Little River County, Arkansas",36205,39588,24578,110625,.,.,16267,NA,39680,NA
AR,05,083,"Logan County, Arkansas",35325,36390,25543,250001,34000,.,.,NA,36224,NA
AR,05,085,"Lonoke County, Arkansas",53631,55487,25096,NA,65372,.,46360,44712,55929,40500
AR,05,087,"Madison County, Arkansas",37691,37747,.,NA,.,.,51250,30804,38587,35128
AR,05,089,"Marion County, Arkansas",34195,34137,.,72431,.,.,.,18884,34382,17788
AR,05,091,"Miller County, Arkansas",40317,46144,27182,NA,.,.,43496,21739,46294,41029
AR,05,093,"Mississippi County, Arkansas",34612,41279,25317,.,31765,.,NA,26731,41159,27438
AR,05,095,"Monroe County, Arkansas",27647,36352,15625,.,.,.,.,83750,36020,NA
AR,05,097,"Montgomery County, Arkansas",33037,33771,.,80486,.,.,.,21250,33502,63056
AR,05,099,"Nevada County, Arkansas",30691,37540,24136,18173,.,.,.,16500,38367,NA
AR,05,101,"Newton County, Arkansas",34536,34583,.,58281,.,.,.,23672,34148,.
AR,05,103,"Ouachita County, Arkansas",31293,42348,21455,.,.,.,.,NA,42794,20208
AR,05,105,"Perry County, Arkansas",42346,43539,.,.,.,.,25313,NA,43469,NA
AR,05,107,"Phillips County, Arkansas",26844,43491,20277,.,.,.,.,NA,43561,NA
AR,05,109,"Pike County, Arkansas",33097,33968,NA,.,.,.,25294,38542,34015,19917
AR,05,111,"Poinsett County, Arkansas",33070,35219,18276,26635,.,.,.,NA,35097,22039
AR,05,113,"Polk County, Arkansas",33702,34098,.,NA,NA,.,NA,14883,34191,29545
AR,05,115,"Pope County, Arkansas",39810,40302,37102,35536,63233,.,32917,44000,40612,32760
AR,05,117,"Prairie County, Arkansas",35833,39059,23333,.,.,.,.,.,39127,.
AR,05,119,"Pulaski County, Arkansas",46140,56369,31768,34158,62254,.,37413,36771,58226,33789
AR,05,121,"Randolph County, Arkansas",34044,34327,NA,NA,.,.,.,26250,34489,13348
AR,05,123,"St. Francis County, Arkansas",32105,36982,25924,.,.,.,18885,18750,37256,20333
AR,05,125,"Saline County, Arkansas",55817,57215,43631,28546,58375,.,49063,47083,57504,51443
AR,05,127,"Scott County, Arkansas",37321,37788,.,NA,66250,.,32800,23846,37553,34079
AR,05,129,"Searcy County, Arkansas",33083,33300,.,15682,.,.,.,NA,33158,40313
AR,05,131,"Sebastian County, Arkansas",38575,40849,21563,44592,42732,NA,30536,26086,43581,29090
AR,05,133,"Sevier County, Arkansas",36579,38305,22824,NA,NA,.,29697,58125,39438,29724
AR,05,135,"Sharp County, Arkansas",30691,30665,.,32188,243750,.,.,27857,30642,NA
AR,05,137,"Stone County, Arkansas",29264,29322,.,.,.,.,.,20781,29352,NA
AR,05,139,"Union County, Arkansas",38678,48060,26845,33571,71339,.,73594,NA,49285,30792
AR,05,141,"Van Buren County, Arkansas",32312,32155,.,.,.,.,36406,40750,32105,36042
AR,05,143,"Washington County, Arkansas",43524,46302,31528,27794,50938,31635,35468,30341,46817,36705
AR,05,145,"White County, Arkansas",42554,43432,24738,NA,NA,.,30583,38750,43564,23924
AR,05,147,"Woodruff County, Arkansas",28993,31193,20863,.,.,.,.,NA,31193,.
AR,05,149,"Yell County, Arkansas",37804,38631,NA,90893,25671,.,36234,31500,38996,36282
AZ,04,001,"Apache County, Arizona",31757,42488,31761,25600,59632,48250,29907,21875,47235,34178
AZ,04,003,"Cochise County, Arizona",45075,46090,66734,NA,61761,27650,33996,41858,48688,35446
AZ,04,005,"Coconino County, Arizona",50234,55850,29613,37171,34792,NA,49012,29196,56873,46345
AZ,04,007,"Gila County, Arizona",39751,40745,NA,26274,82847,.,47880,38551,40872,40048
AZ,04,009,"Graham County, Arizona",45964,47676,NA,27984,69010,.,35086,71923,47980,46223
AZ,04,011,"Greenlee County, Arizona",51628,48375,100682,90446,.,.,56563,NA,52665,46000
AZ,04,012,"La Paz County, Arizona",34466,35247,.,30083,NA,2499,35519,59286,34883,36610
AZ,04,013,"Maricopa County, Arizona",54229,56337,39059,41137,70947,51585,38778,49954,61487,40294
AZ,04,015,"Mohave County, Arizona",38488,38500,30859,36111,56756,NA,33831,42102,39068,32186
AZ,04,017,"Navajo County, Arizona",35921,45641,NA,24805,42396,38250,26563,46979,46445,33107
AZ,04,019,"Pima County, Arizona",46162,48801,36278,29877,45337,NA,32209,42429,52205,36745
AZ,04,021,"Pinal County, Arizona",49477,50501,52107,26310,66494,27719,44436,56845,51990,43213
AZ,04,023,"Santa Cruz County, Arizona",40140,41819,101563,NA,73472,.,25197,58750,50518,34613
AZ,04,025,"Yavapai County, Arizona",44748,45086,50781,37228,71563,.,35493,35132,45781,36870
AZ,04,027,"Yuma County, Arizona",40743,41798,44348,26896,69716,53162,35460,39817,48459,35293
CA,06,001,"Alameda County, California",75619,82824,42093,52793,95216,74082,56097,66796,90836,57291
CA,06,003,"Alpine County, California",52917,59423,.,35625,.,.,.,18839,59615,NA
CA,06,005,"Amador County, California",54171,54719,NA,37578,107995,.,NA,50117,54422,31971
CA,06,007,"Butte County, California",43444,44755,27031,40987,39435,NA,33657,35702,46005,35563
CA,06,009,"Calaveras County, California",53233,55242,.,NA,NA,.,NA,42213,55175,54750
CA,06,011,"Colusa County, California",52168,54123,NA,55208,NA,NA,34531,58929,61815,45092
CA,06,013,"Contra Costa County, California",80185,85459,50343,56250,100536,66929,54177,72485,92941,58299
CA,06,015,"Del Norte County, California",40847,42245,9141,50689,NA,18833,NA,26042,43643,24340
CA,06,017,"El Dorado County, California",69584,70097,98140,48958,116625,NA,35904,59144,70882,47863
CA,06,019,"Fresno County, California",45233,50386,26110,36631,50683,41538,34233,44576,60382,36022
CA,06,021,"Glenn County, California",39349,41957,26389,36483,19181,82708,33350,NA,44747,35973
CA,06,023,"Humboldt County, California",42197,44095,28504,27097,32823,85234,30740,31656,44346,35800
CA,06,025,"Imperial County, California",41079,42589,57321,36250,81128,.,32662,37444,54610,37110
CA,06,027,"Inyo County, California",45955,46694,65625,37148,NA,NA,NA,81544,46988,45514
CA,06,029,"Kern County, California",49026,50315,32429,33876,71908,35658,42705,51250,60244,39686
CA,06,031,"Kings County, California",46481,48190,40991,38816,63568,39196,38486,43355,60434,37384
CA,06,033,"Lake County, California",35578,37724,24111,32750,42075,NA,29201,26190,38257,31597
CA,06,035,"Lassen County, California",51555,51130,48500,61905,NA,NA,61528,76719,51541,46667
CA,06,037,"Los Angeles County, California",56196,62124,40665,46394,66356,63678,42385,60166,74644,45320
CA,06,039,"Madera County, California",45073,45095,35661,33516,53889,66343,47484,44250,53392,39124
CA,06,041,"Marin County, California",93257,101129,54225,NA,89630,57850,37762,73664,103202,48813
CA,06,043,"Mariposa County, California",47681,48529,NA,46111,NA,.,NA,NA,49023,37976
CA,06,045,"Mendocino County, California",42980,44531,19323,30598,49500,38116,37468,30795,46118,35090
CA,06,047,"Merced County, California",42462,45504,32605,35347,50354,46563,36167,37333,50153,37404
CA,06,049,"Modoc County, California",37860,38375,.,35385,32813,.,.,23393,39391,26445
CA,06,051,"Mono County, California",56944,61066,.,NA,86250,.,36068,115147,63226,45076
CA,06,053,"Monterey County, California",58783,59228,59634,58361,68208,76316,50944,66615,72560,48236
CA,06,055,"Napa County, California",71379,72220,73003,50369,99486,46406,52044,71197,77725,52459
CA,06,057,"Nevada County, California",56521,56538,NA,60134,71462,.,37795,52904,56821,45869
CA,06,059,"Orange County, California",76509,79914,66555,55123,80739,65042,52486,74681,86897,56510
CA,06,061,"Placer County, California",73948,73888,85580,60563,102714,61083,47449,66667,75127,54294
CA,06,063,"Plumas County, California",47333,48809,.,38377,23355,.,NA,34559,49507,30918
CA,06,065,"Riverside County, California",56603,58994,52127,46960,71601,48476,46062,60265,63699,48510
CA,06,067,"Sacramento County, California",55987,60420,38792,48547,61374,49351,42226,46845,63169,45042
CA,06,069,"San Benito County, California",71077,71115,75972,63750,92727,.,66292,84638,83447,59295
CA,06,071,"San Bernardino County, California",53433,55421,40705,41581,72134,60710,46913,54077,58667,49633
CA,06,073,"San Diego County, California",64309,65480,50227,56297,81673,55867,46012,61484,73052,47896
CA,06,075,"San Francisco County, California",81294,100091,29800,36198,69577,35313,51760,77389,103992,57948
CA,06,077,"San Joaquin County, California",53274,56313,37428,37697,61128,90483,44466,45301,63283,44550
CA,06,079,"San Luis Obispo County, California",60691,61694,63224,46250,59421,.,45946,50921,65110,48178
CA,06,081,"San Mateo County, California",93623,97207,56213,70792,107531,73442,56879,87856,106936,61383
CA,06,083,"Santa Barbara County, California",63985,66814,51695,57699,68710,77614,46372,53958,74123,49516
CA,06,085,"Santa Clara County, California",96310,94691,64219,55508,116152,84286,57141,87836,105703,61124
CA,06,087,"Santa Cruz County, California",67256,69441,63977,32056,68528,NA,50358,53378,75779,48648
CA,06,089,"Shasta County, California",44620,45180,39193,40240,45983,63184,33166,35085,45757,36457
CA,06,091,"Sierra County, California",42833,42396,.,.,.,.,.,26250,43625,18194
CA,06,093,"Siskiyou County, California",37170,38610,17784,22230,39500,30185,30250,29754,39231,30472
CA,06,095,"Solano County, California",66828,71497,50790,50324,83281,61826,55718,63183,74102,55834
CA,06,097,"Sonoma County, California",64240,66800,60091,53208,69885,83917,45550,60644,68656,51334
CA,06,099,"Stanislaus County, California",50125,51489,37772,37049,57620,40459,40819,51475,55987,42964
CA,06,101,"Sutter County, California",52017,53549,57432,55156,51821,NA,40628,40250,59838,40639
CA,06,103,"Tehama County, California",41001,40919,.,38125,58109,.,36750,31729,40769,43545
CA,06,105,"Trinity County, California",34974,35474,.,18205,NA,.,NA,47105,35237,NA
CA,06,107,"Tulare County, California",42031,42513,22458,36199,57851,NA,35918,47146,55287,34677
CA,06,109,"Tuolumne County, California",50306,50883,30972,43182,52330,.,42100,54891,51046,48225
CA,06,111,"Ventura County, California",77348,76839,74474,59457,103602,72500,60243,78187,86353,59009
CA,06,113,"Yolo County, California",54989,59421,36208,53810,46215,NA,50077,43940,65871,46885
CA,06,115,"Yuba County, California",46892,48312,37386,31712,52528,48947,42063,40350,49142,41341
CO,08,001,"Adams County, Colorado",58946,60451,43031,56750,58984,57372,44594,54883,65710,46978
CO,08,003,"Alamosa County, Colorado",32395,32353,24931,54000,.,.,26301,61630,45134,24268
CO,08,005,"Arapahoe County, Colorado",63265,68266,46143,44038,66821,54392,40897,46306,71462,44998
CO,08,007,"Archuleta County, Colorado",46646,48588,.,NA,NA,.,28500,.,49069,35361
CO,08,009,"Baca County, Colorado",38000,38833,.,NA,.,.,.,25313,40000,32500
CO,08,011,"Bent County, Colorado",36791,37982,.,8929,.,.,NA,NA,39392,31154
CO,08,013,"Boulder County, Colorado",70961,72616,52284,38409,74525,106705,38623,50640,75305,42344
CO,08,014,"Broomfield County, Colorado",81898,82961,NA,NA,90586,.,41426,60444,84459,62424
CO,08,015,"Chaffee County, Colorado",51092,50909,.,NA,.,.,34375,75283,51681,33750
CO,08,017,"Cheyenne County, Colorado",52554,52609,.,.,NA,.,.,NA,54083,36806
CO,08,019,"Clear Creek County, Colorado",67710,68680,28510,.,.,.,.,NA,68910,28173
CO,08,021,"Conejos County, Colorado",36652,36675,.,NA,.,.,31563,NA,50764,30030
CO,08,023,"Costilla County, Colorado",31321,31286,.,13214,NA,.,43750,.,40947,24292
CO,08,025,"Crowley County, Colorado",31151,31389,.,13750,53194,.,21250,NA,33708,16989
CO,08,027,"Custer County, Colorado",35000,35636,26833,.,.,.,.,47813,35890,NA
CO,08,029,"Delta County, Colorado",42452,42613,.,33750,36743,.,46078,38789,43354,35710
CO,08,031,"Denver County, Colorado",53637,58585,33139,37257,51968,50885,35484,42040,65399,38740
CO,08,033,"Dolores County, Colorado",31875,32057,.,.,.,.,.,43333,31417,36346
CO,08,035,"Douglas County, Colorado",102964,103212,109333,66442,103926,71020,82806,102531,104402,92710
CO,08,037,"Eagle County, Colorado",72214,74237,53015,54637,51943,.,39879,110048,78920,52067
CO,08,039,"Elbert County, Colorado",84963,84336,105526,NA,NA,.,NA,133170,85603,61451
CO,08,041,"El Paso County, Colorado",58206,61208,47271,41645,60311,51797,35965,49442,62524,43176
CO,08,043,"Fremont County, Colorado",40423,40451,.,28478,.,.,NA,40536,40176,41794
CO,08,045,"Garfield County, Colorado",56590,58930,34639,NA,33686,.,42330,42243,65526,43764
CO,08,047,"Gilpin County, Colorado",65670,66210,.,.,.,.,NA,71875,67722,39643
CO,08,049,"Grand County, Colorado",63628,64840,37308,.,NA,.,33445,.,65877,33506
CO,08,051,"Gunnison County, Colorado",48071,48628,.,101563,.,.,.,29519,50654,31454
CO,08,053,"Hinsdale County, Colorado",57083,57875,.,.,.,.,.,.,57143,.
CO,08,055,"Huerfano County, Colorado",31715,32833,.,43240,.,.,16389,18363,34500,25049
CO,08,057,"Jackson County, Colorado",46014,46892,.,.,.,.,NA,.,46892,38750
CO,08,059,"Jefferson County, Colorado",70164,70920,45554,68851,71856,66442,51567,62961,73338,51220
CO,08,061,"Kiowa County, Colorado",40304,40439,.,.,.,.,.,.,40303,41563
CO,08,063,"Kit Carson County, Colorado",40603,41563,.,.,.,.,38490,.,45769,22462
CO,08,065,"Lake County, Colorado",45367,49688,.,.,.,.,32250,.,49688,41216
CO,08,067,"La Plata County, Colorado",60278,61385,28922,49663,57344,.,59167,33843,62296,52960
CO,08,069,"Larimer County, Colorado",59805,60557,42036,36506,57875,NA,44364,47140,61233,46256
CO,08,071,"Las Animas County, Colorado",45067,45376,45069,15568,39659,.,54565,35052,49956,37436
CO,08,073,"Lincoln County, Colorado",39005,39398,.,25833,.,.,.,NA,39728,31458
CO,08,075,"Logan County, Colorado",42319,42475,2499,NA,.,.,31818,NA,43378,40699
CO,08,077,"Mesa County, Colorado",49322,49658,39271,32689,NA,.,53347,39006,50581,39535
CO,08,079,"Mineral County, Colorado",48125,52000,.,.,.,.,.,.,51250,45568
CO,08,081,"Moffat County, Colorado",51387,51829,.,NA,64231,.,23359,17917,53861,32129
CO,08,083,"Montezuma County, Colorado",43553,44878,.,28451,NA,.,NA,65250,46154,40223
CO,08,085,"Montrose County, Colorado",43999,44539,NA,NA,88523,.,24828,23256,46198,34544
CO,08,087,"Morgan County, Colorado",48450,48826,41228,30833,NA,.,31940,51329,49815,46194
CO,08,089,"Otero County, Colorado",32311,35986,.,18904,30565,.,14722,NA,39709,24850
CO,08,091,"Ouray County, Colorado",61624,61984,.,.,.,.,.,.,62351,31719
CO,08,093,"Park County, Colorado",56969,56462,.,.,NA,.,.,.,57051,36176
CO,08,095,"Phillips County, Colorado",43639,43417,.,12750,.,.,.,56563,47719,40109
